time,open,high,low,close,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Plot,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1578434400,1.11529,1.1154,1.11447,1.11474,NaN,NaN,37.69699188012082,36.07867898773232,NaN,NaN,50,NaN,NaN,NaN,NaN
1578438000,1.11474,1.11547,1.11474,1.11542,NaN,NaN,43.437868573262236,35.64668927418725,NaN,NaN,50,NaN,NaN,NaN,NaN
1578441600,1.11542,1.11684,1.11527,1.11589,NaN,NaN,47.06830341096067,35.936623693861854,NaN,NaN,50,NaN,NaN,NaN,NaN
1578445200,1.11589,1.11633,1.1155,1.11558,NaN,NaN,45.01596956538557,35.728369265992804,NaN,NaN,50,NaN,NaN,NaN,NaN
1578448800,1.11558,1.11614,1.11532,1.11587,NaN,NaN,47.32966674203667,36.04777846712968,NaN,NaN,50,NaN,NaN,47.32966674203667,NaN
1578452400,1.11587,1.11591,1.11537,1.11548,NaN,NaN,44.610957387719715,36.88761144876525,NaN,NaN,50,NaN,NaN,NaN,NaN
1578456000,1.11548,1.11559,1.11451,1.11478,NaN,NaN,40.152727095956244,37.64200291155858,NaN,NaN,50,NaN,NaN,NaN,NaN
1578459600,1.11478,1.11514,1.11474,1.11493,NaN,NaN,41.50181803740658,38.648500366681716,NaN,NaN,50,NaN,NaN,NaN,NaN
1578463200,1.11493,1.1154,1.11486,1.11505,NaN,NaN,42.61626736236121,39.849670104131,NaN,NaN,50,NaN,NaN,NaN,NaN
1578466800,1.11505,1.1155,1.11432,1.11512,NaN,NaN,43.2949105186806,40.74702078294173,NaN,NaN,50,NaN,NaN,NaN,NaN
1578470400,1.11512,1.11534,1.11303,1.11351,NaN,NaN,33.48586550584703,40.87261560750165,NaN,NaN,50,NaN,NaN,NaN,NaN
1578474000,1.11351,1.11449,1.11254,1.11385,NaN,NaN,36.745144041738506,41.156687345321075,NaN,NaN,50,NaN,NaN,NaN,NaN
1578477600,1.11385,1.11387,1.11254,1.11274,NaN,NaN,31.345008406989535,41.079230903580935,NaN,NaN,50,NaN,NaN,NaN,NaN
1578481200,1.11274,1.11311,1.11199,1.11273,NaN,NaN,31.30037952349302,40.40013414656846,NaN,NaN,50,NaN,NaN,NaN,NaN
1578484800,1.11273,1.11306,1.11141,1.11169,NaN,NaN,26.99553395714814,39.63574429492756,NaN,NaN,50,26.99553395714814,NaN,NaN,NaN
1578488400,1.11169,1.11225,1.11114,1.112,NaN,NaN,30.08233015423042,38.68177726499671,NaN,NaN,50,NaN,NaN,NaN,NaN
1578492000,1.112,1.1127,1.11175,1.11246,NaN,NaN,34.50750928974239,37.7845776849097,NaN,NaN,50,NaN,NaN,NaN,NaN
1578495600,1.11246,1.11309,1.11153,1.112,NaN,NaN,32.30556686378104,36.87669177765223,NaN,NaN,50,NaN,NaN,NaN,NaN
1578499200,1.112,1.11204,1.11088,1.11166,NaN,NaN,30.744007181816016,35.69200180906504,NaN,NaN,50,NaN,NaN,NaN,NaN
1578502800,1.11166,1.1126,1.11132,1.11181,NaN,NaN,32.298807305549076,34.812562517481425,NaN,NaN,50,NaN,NaN,NaN,NaN
1578506400,1.11181,1.11181,1.11105,1.11133,NaN,NaN,29.97941098130761,34.085897080720805,NaN,NaN,50,NaN,NaN,NaN,NaN
1578510000,1.11133,1.11141,1.11083,1.11114,NaN,NaN,29.088952631827496,33.19926383746515,NaN,NaN,50,NaN,NaN,NaN,NaN
1578513600,1.11114,1.11148,1.11097,1.1112,NaN,NaN,29.798076105281908,32.28367874767378,NaN,NaN,50,NaN,NaN,NaN,NaN
1578517200,1.1112,1.11129,1.11017,1.11056,NaN,NaN,26.7277546680144,31.100310472626198,NaN,NaN,50,26.7277546680144,NaN,NaN,NaN
1578520800,1.11056,1.11149,1.11032,1.11104,NaN,NaN,32.35717052762422,31.01968940275314,NaN,NaN,50,NaN,NaN,NaN,NaN
1578524400,1.11104,1.1113,1.11074,1.1113,NaN,NaN,35.258668383616325,30.913512570030132,NaN,NaN,50,NaN,NaN,NaN,NaN
1578528000,1.1113,1.1116,1.11094,1.11134,NaN,NaN,35.71552290841214,31.225692177274603,NaN,NaN,50,NaN,NaN,NaN,NaN
1578531600,1.11134,1.11195,1.11113,1.11175,NaN,NaN,40.36104844309247,31.87288281438885,NaN,NaN,50,NaN,NaN,NaN,NaN
1578535200,1.11175,1.11191,1.11146,1.11154,NaN,NaN,38.813885764152126,32.71705080060342,NaN,NaN,50,NaN,NaN,NaN,NaN
1578538800,1.11154,1.11179,1.11142,1.11155,NaN,NaN,38.93392933513531,33.349307884953774,NaN,NaN,50,NaN,NaN,NaN,NaN
1578542400,1.11155,1.1116,1.11127,1.11156,NaN,NaN,39.06268135671373,33.674677318308866,NaN,NaN,50,NaN,NaN,NaN,NaN
1578546000,1.11156,1.1119,1.11152,1.11184,NaN,NaN,42.70528059463805,34.41751401337008,NaN,NaN,50,NaN,NaN,NaN,NaN
1578549600,1.11184,1.11191,1.11112,1.11125,NaN,NaN,37.60439770569847,34.907541907933116,NaN,NaN,50,NaN,NaN,NaN,NaN
1578553200,1.11125,1.11205,1.11112,1.11153,NaN,NaN,41.19423200071561,35.542929386159294,NaN,NaN,50,NaN,NaN,NaN,NaN
1578556800,1.11153,1.11178,1.11053,1.11173,NaN,NaN,43.68647168744896,36.52200515088368,NaN,NaN,50,NaN,NaN,NaN,NaN
1578560400,1.11173,1.11192,1.10985,1.10995,NaN,NaN,31.066943895223446,36.66329024112624,NaN,NaN,50,31.066943895223446,NaN,NaN,NaN
1578564000,1.10995,1.11118,1.10966,1.11097,NaN,NaN,41.496031452794014,37.498858480234254,NaN,NaN,50,NaN,NaN,NaN,NaN
1578567600,1.11097,1.11127,1.11035,1.11048,NaN,NaN,38.483870871064035,38.33858106616636,NaN,NaN,50,NaN,NaN,NaN,NaN
1578571200,1.11048,1.11168,1.11035,1.11136,NaN,NaN,46.05703923608495,39.3171431167707,NaN,NaN,50,NaN,NaN,NaN,NaN
1578574800,1.11136,1.11174,1.11059,1.1115,NaN,NaN,47.17130438394644,40.168045688222854,NaN,NaN,50,NaN,NaN,47.17130438394644,NaN
1578578400,1.1115,1.1115,1.1104,1.11083,NaN,NaN,42.63264590657724,40.66212590237751,NaN,NaN,50,NaN,NaN,NaN,NaN
1578582000,1.11083,1.11109,1.10931,1.11025,NaN,NaN,39.12332376341021,40.57371699668592,NaN,NaN,50,NaN,NaN,NaN,NaN
1578585600,1.11025,1.11063,1.10938,1.11062,NaN,NaN,42.38168987554033,40.82856014749937,NaN,NaN,50,NaN,NaN,NaN,NaN
1578589200,1.11062,1.11114,1.11039,1.11048,NaN,NaN,41.47706615376704,41.010212777401634,NaN,NaN,50,NaN,NaN,NaN,NaN
1578592800,1.11048,1.11087,1.11036,1.11051,NaN,NaN,41.76391938327776,41.20315835072763,NaN,NaN,50,NaN,NaN,NaN,NaN
