Date,Open,High,Low,Close,Volume,Volume MA
1451858400,1.08697,1.08746,1.08663,1.086665,373,NaN
1451862000,1.086665,1.086685,1.08455,1.08518,1302,NaN
1451865600,1.08518,1.0858,1.08431,1.084555,1622,NaN
1451869200,1.084555,1.08617,1.082725,1.086005,3131,NaN
1451872800,1.086005,1.087575,1.08585,1.087145,3273,NaN
1451876400,1.087145,1.08732,1.086695,1.08713,1407,NaN
1451880000,1.08713,1.08837,1.08695,1.087945,2022,NaN
1451883600,1.087945,1.090495,1.087375,1.089715,3039,NaN
1451887200,1.089715,1.090245,1.08843,1.088905,2318,NaN
1451890800,1.088905,1.092045,1.08818,1.09127,6840,NaN
1451894400,1.09127,1.094655,1.09108,1.092435,8872,NaN
1451898000,1.092435,1.09305,1.091275,1.09292,6398,NaN
1451901600,1.09292,1.093585,1.09052,1.09058,6617,NaN
1451905200,1.09058,1.091735,1.089765,1.09172,5218,NaN
1451908800,1.09172,1.0925,1.089675,1.090655,5199,NaN
1451912400,1.090655,1.090655,1.08458,1.08548,9380,NaN
1451916000,1.08548,1.086345,1.083345,1.083635,9208,NaN
1451919600,1.083635,1.08479,1.080115,1.080175,12059,NaN
1451923200,1.080175,1.081255,1.078115,1.080345,8820,NaN
1451926800,1.080345,1.08233,1.080005,1.081805,3779,5043.85
1451930400,1.081805,1.082485,1.08126,1.082215,2549,5152.65
1451934000,1.082215,1.08281,1.081575,1.08275,2075,5191.3
1451937600,1.08275,1.08372,1.082605,1.082895,2974,5258.9
1451941200,1.082895,1.08371,1.08287,1.08325,1315,5168.1
1451944800,1.08325,1.083325,1.08271,1.082895,958,5052.35
1451948400,1.082895,1.082935,1.082375,1.082405,857,5024.85
1451952000,1.082405,1.08348,1.0818,1.08315,1126,4980.05
1451955600,1.08315,1.083895,1.08223,1.082445,2561,4956.15
1451959200,1.082445,1.082865,1.08154,1.08168,1331,4906.8
1451962800,1.08168,1.082125,1.0815,1.081945,1005,4615.05
1451966400,1.081945,1.0826,1.08192,1.082265,866,4214.75
1451970000,1.082265,1.083455,1.08211,1.083155,1329,3961.3
1451973600,1.083155,1.083675,1.08249,1.0828,1616,3711.25
1451977200,1.0828,1.08289,1.08042,1.08088,4073,3654
1451980800,1.08088,1.081845,1.078545,1.07897,7546,3771.35
1451984400,1.07897,1.07987,1.077265,1.077385,7754,3690.05
1451988000,1.077385,1.0785,1.07648,1.0768,8292,3644.25
1451991600,1.0768,1.076895,1.07523,1.0756,5332,3307.9
1451995200,1.0756,1.07651,1.07501,1.07515,5025,3118.15
1451998800,1.07515,1.07567,1.07391,1.074215,6544,3256.4
1452002400,1.074215,1.075735,1.073835,1.073915,7431,3500.5
1452006000,1.073915,1.074285,1.071065,1.072185,8042,3798.85
1452009600,1.072185,1.074465,1.07199,1.074225,4976,3898.95
1452013200,1.074225,1.074865,1.07332,1.074565,2684,3967.4
1452016800,1.074565,1.074665,1.073325,1.0734,2100,4024.5
1452020400,1.0734,1.074675,1.07333,1.07433,1666,4064.95
1452024000,1.07433,1.07532,1.0742,1.075045,2150,4116.15
1452027600,1.075045,1.075565,1.07465,1.074845,827,4029.45
1452031200,1.074845,1.075725,1.07461,1.075425,1290,4027.4
1452034800,1.075425,1.07585,1.07499,1.07507,855,4019.9
1452038400,1.07507,1.075185,1.074135,1.07443,1005,4026.85
1452042000,1.07443,1.0773,1.07393,1.07615,4441,4182.45
1452045600,1.07615,1.07709,1.07605,1.076375,3152,4259.25
1452049200,1.076375,1.076505,1.074525,1.074555,2120,4161.6
1452052800,1.074555,1.07509,1.074545,1.074925,1175,3843.05
1452056400,1.074925,1.075035,1.07414,1.074465,1028,3506.75
1452060000,1.074465,1.075525,1.07431,1.07455,1497,3167
1452063600,1.07455,1.07488,1.071925,1.07295,5532,3177
1452067200,1.07295,1.07428,1.072435,1.07354,6136,3232.55
1452070800,1.07354,1.073665,1.07203,1.07347,5385,3174.6
1452074400,1.07347,1.073795,1.072545,1.07355,4132,3009.65
1452078000,1.07355,1.075215,1.07329,1.07488,5175,2866.3
1452081600,1.07488,1.07601,1.074,1.07431,4427,2838.85
1452085200,1.07431,1.07561,1.07163,1.07393,9559,3182.6
1452088800,1.07393,1.07589,1.07332,1.07556,9837,3569.45
1452092400,1.07556,1.07672,1.074035,1.07452,9843,3978.3
1452096000,1.07452,1.076305,1.07438,1.07613,5588,4150.2
1452099600,1.07613,1.07624,1.07534,1.075495,2444,4231.05
1452103200,1.075495,1.07651,1.075255,1.075545,2220,4277.55
1452106800,1.075545,1.07996,1.07473,1.07887,10039,4736.75
1452110400,1.07887,1.07994,1.07802,1.07875,3448,4858.9
1452114000,1.07875,1.079035,1.078,1.07801,938,4683.75
1452117600,1.07801,1.07832,1.077465,1.077465,1518,4602.05
1452121200,1.077465,1.07813,1.077355,1.077685,891,4540.6
1452124800,1.077685,1.07831,1.077415,1.077785,1228,4543.25
1452128400,1.077785,1.081025,1.07749,1.080265,6605,4822.1
1452132000,1.080265,1.081765,1.07994,1.08151,3063,4900.4
1452135600,1.08151,1.082575,1.0815,1.08188,2029,4725.25
1452139200,1.08188,1.082535,1.081555,1.08236,1503,4493.6
1452142800,1.08236,1.082975,1.08208,1.08273,890,4268.85
1452146400,1.08273,1.08281,1.081175,1.08168,2182,4171.35
1452150000,1.08168,1.0822,1.0782,1.078355,7064,4265.8
1452153600,1.078355,1.08082,1.07712,1.080735,7276,4408.25
1452157200,1.080735,1.086975,1.080735,1.08461,11098,4485.2
1452160800,1.08461,1.085965,1.08348,1.083745,6901,4338.4
1452164400,1.083745,1.087475,1.083745,1.086675,6835,4188
1452168000,1.086675,1.086965,1.08446,1.08584,6116,4214.4
1452171600,1.08584,1.08726,1.08562,1.085865,7238,4454.1
1452175200,1.085865,1.086475,1.083665,1.08443,9914,4838.8
1452178800,1.08443,1.087495,1.082765,1.082765,11083,4891
1452182400,1.082765,1.086205,1.08262,1.085985,7734,5105.3
1452186000,1.085985,1.0872,1.085575,1.08625,4021,5259.45
1452189600,1.08625,1.09093,1.08623,1.090135,5382,5452.65
1452193200,1.090135,1.093535,1.08934,1.093095,5336,5674.9
1452196800,1.093095,1.09403,1.09238,1.093465,5321,5879.55
1452200400,1.093465,1.09399,1.092775,1.093085,1672,5632.9
1452204000,1.093085,1.093405,1.09208,1.092185,1373,5548.4
1452207600,1.092185,1.09269,1.09195,1.09259,1425,5518.2
1452211200,1.09259,1.092725,1.091175,1.091805,1792,5532.65
1452214800,1.091805,1.092315,1.08717,1.088405,10667,6021.5
1452218400,1.088405,1.08907,1.08761,1.088715,2724,6048.6
1452222000,1.088715,1.088925,1.088015,1.0884,1337,5762.25
1452225600,1.0884,1.08845,1.08722,1.0874,1359,5466.4
1452229200,1.0874,1.08851,1.08733,1.087805,1684,4995.7
1452232800,1.087805,1.088155,1.08552,1.086125,2339,4767.6
1452236400,1.086125,1.088895,1.085485,1.08864,5433,4697.5
1452240000,1.08864,1.08999,1.08689,1.0872,7630,4773.2
1452243600,1.0872,1.08831,1.08669,1.08733,4998,4661.2
1452247200,1.08733,1.08753,1.085835,1.086935,4702,4400.6
1452250800,1.086935,1.087695,1.086125,1.08724,5070,4099.95
1452254400,1.08724,1.087755,1.085885,1.08661,4203,3923.4
1452258000,1.08661,1.08709,1.08032,1.084135,14006,4422.65
1452261600,1.084135,1.089025,1.083375,1.08644,15721,4939.6
1452265200,1.08644,1.090865,1.086425,1.090845,14341,5389.85
1452268800,1.090845,1.0917,1.08845,1.08845,11019,5674.75
1452272400,1.08845,1.08923,1.087055,1.08882,5166,5849.45
1452276000,1.08882,1.090475,1.088625,1.0897,4078,5984.7
1452279600,1.0897,1.09052,1.08898,1.09024,2946,6060.75
1452283200,1.09024,1.09217,1.090135,1.09195,3350,6138.65
1452286800,1.09195,1.093035,1.091715,1.09264,1627,5686.65
1452463200,1.09264,1.09459,1.091765,1.094455,3323,5716.6
1452466800,1.094455,1.096995,1.09331,1.09373,4976,5898.55
1452470400,1.09373,1.094095,1.09239,1.093865,2228,5942
1452474000,1.093865,1.09457,1.09234,1.093765,3975,6056.55
1452477600,1.093765,1.093795,1.09176,1.092065,1781,6028.65
1452481200,1.092065,1.0924,1.090835,1.091425,1011,5807.55
1452484800,1.091425,1.09155,1.090805,1.09139,669,5459.5
1452488400,1.09139,1.091935,1.090915,1.091835,881,5253.65
1452492000,1.091835,1.0934,1.091415,1.0932,1490,5093.05
1452495600,1.0932,1.09323,1.08931,1.09007,3681,5023.6
1452499200,1.09007,1.09007,1.08725,1.08844,7350,5180.95
1452502800,1.08844,1.089375,1.088155,1.08858,4989,4730.1
1452506400,1.08858,1.09018,1.088485,1.090095,4478,4167.95
1452510000,1.090095,1.0907,1.08923,1.089895,4646,3683.2
1452513600,1.089895,1.09101,1.08917,1.089905,4190,3341.75
1452517200,1.089905,1.090285,1.087945,1.08814,7357,3451.3
1452520800,1.08814,1.08996,1.085985,1.08983,9292,3712
1452524400,1.08983,1.09,1.085065,1.08514,11776,4153.5
1452528000,1.08514,1.0897,1.08477,1.087745,7518,4361.9
1452531600,1.087745,1.08968,1.08774,1.08813,3758,4468.45
1452535200,1.08813,1.089885,1.08781,1.08902,3503,4477.45
1452538800,1.08902,1.08955,1.086305,1.087385,3756,4416.45
1452542400,1.087385,1.088,1.085025,1.085205,2119,4411
1452546000,1.085205,1.086055,1.08517,1.085925,740,4249.25
1452549600,1.085925,1.086585,1.085575,1.086245,2052,4262.8
1452553200,1.086245,1.086245,1.08526,1.085645,784,4251.45
1452556800,1.085645,1.086595,1.085035,1.08522,1650,4300.5
1452560400,1.08522,1.08615,1.08411,1.085465,2858,4399.35
1452564000,1.085465,1.087955,1.08546,1.087775,1848,4417.25
1452567600,1.087775,1.0884,1.087125,1.08799,1102,4288.3
1452571200,1.08799,1.08848,1.08776,1.08822,892,3965.4
1452574800,1.08822,1.08845,1.087465,1.0876,1497,3790.8
1452578400,1.0876,1.08939,1.087435,1.088385,2199,3676.85
1452582000,1.088385,1.089945,1.087975,1.08926,3068,3597.95
1452585600,1.08926,1.09004,1.087215,1.088455,6067,3691.8
1452589200,1.088455,1.08887,1.085435,1.0857,6274,3637.65
1452592800,1.0857,1.085965,1.084415,1.08483,6033,3474.7
1452596400,1.08483,1.08596,1.084315,1.08553,4650,3118.4
1452600000,1.08553,1.086095,1.08359,1.0843,4558,2970.4
1452603600,1.0843,1.08561,1.08332,1.08516,5797,3072.35
1452607200,1.08516,1.08608,1.08425,1.08485,7952,3294.8
1452610800,1.08485,1.08581,1.082085,1.08238,10968,3655.4
1452614400,1.08238,1.084355,1.081975,1.08353,7848,3941.85
1452618000,1.08353,1.08417,1.082045,1.083925,4589,4134.3
1452621600,1.083925,1.08563,1.083055,1.08509,3801,4221.75
1452625200,1.08509,1.08777,1.08508,1.085475,4466,4405.85
1452628800,1.085475,1.085915,1.08455,1.085395,2671,4456.9
1452632400,1.085395,1.08598,1.08505,1.08579,825,4355.25
1452636000,1.08579,1.086225,1.084625,1.084765,1133,4319.5
1452639600,1.084765,1.08493,1.08411,1.08431,744,4301.6
1452643200,1.08431,1.084885,1.08305,1.08376,2441,4379.05
1452646800,1.08376,1.08384,1.08191,1.082355,3006,4454.5
1452650400,1.082355,1.082935,1.08112,1.082935,2774,4483.25
1452654000,1.082935,1.08323,1.08245,1.082505,1257,4392.7
1452657600,1.082505,1.083135,1.082415,1.08277,966,4137.65
1452661200,1.08277,1.083535,1.082725,1.082965,2399,3943.9
1452664800,1.082965,1.0838,1.08288,1.08331,1329,3708.7
1452668400,1.08331,1.08369,1.081325,1.08163,4600,3706.2
1452672000,1.08163,1.083385,1.080945,1.082375,7574,3857
1452675600,1.082375,1.082675,1.08053,1.08196,5710,3852.65
1452679200,1.08196,1.0821,1.08091,1.08128,4014,3655.75
1452682800,1.08128,1.082985,1.081245,1.08229,4229,3318.8
1452686400,1.08229,1.08242,1.080485,1.081445,4057,3129.25
1452690000,1.081445,1.083165,1.08142,1.083085,4695,3134.55
1452693600,1.083085,1.08562,1.082425,1.08476,8283,3358.65
1452697200,1.08476,1.08823,1.08433,1.084505,12046,3737.65
1452700800,1.084505,1.086295,1.08443,1.086215,9058,4057
1452704400,1.086215,1.08623,1.084475,1.085015,3597,4195.6
1452708000,1.085015,1.086415,1.084435,1.08571,3334,4305.65
1452711600,1.08571,1.08837,1.08502,1.08775,5260,4531.45
1452715200,1.08775,1.08828,1.08704,1.08828,3706,4594.7
1452718800,1.08828,1.088785,1.087225,1.087725,2241,4556.45
1452722400,1.087725,1.08829,1.08757,1.08822,2131,4524.3
1452726000,1.08822,1.088875,1.08809,1.088535,1889,4555.9
