Date,Date,Open,High,Low,Close,Volume,Daily_Returns,Middle_Band,Upper_Band,Lower_Band,Log_Returns,SpreadOC,SpreadLH,MACD,Signal_Line_MACD,RSI,SMI,upper_barrier,lower_barrier,t1,touch_upper,touch_lower,label
2023-01-02 08:00:00,2023-01-02 08:00:00,1.0679,1.0709,1.06636,1.06726,1350.0,,,,,,1.0005996664355452,0.9957605752171071,0.0,0.0,,,,,2023-01-03 08:00:00,,,0.0
2023-01-02 18:00:00,2023-01-02 18:00:00,1.06768,1.06835,1.06502,1.06706,3438.0,-0.00018739576110804457,,,,,1.0005810357430698,0.9968830439462725,-1.5954415954366752e-05,-3.1908831908733507e-06,,,,,2023-01-03 18:00:00,,,0.0
2023-01-02 22:00:00,2023-01-02 22:00:00,1.06726,1.06804,1.06506,1.06674,2636.0,-0.0002998894157778542,,,,,1.0004874664866792,0.9972098423280025,-5.379956331519331e-05,-1.3312619215737344e-05,,,,,2023-01-03 22:00:00,,,0.0
2023-01-03 01:00:00,2023-01-03 01:00:00,1.06524,1.06709,1.06201,1.06238,7814.0,-0.004087219003693465,,,,,1.0026920687512941,0.9952393893673447,-0.0004306434871641507,-9.677879280542001e-05,,,,,2023-01-04 01:00:00,,,0.0
2023-01-03 02:00:00,2023-01-03 02:00:00,1.06238,1.06284,1.05508,1.05518,15244.0,-0.006777236017244337,,,,,1.006823480354063,0.9926988069700049,-0.0012953429319213505,-0.00033649162062860614,,,,,2023-01-04 02:00:00,,,0.0
2023-01-03 04:00:00,2023-01-03 04:00:00,1.05476,1.0561,1.05256,1.05311,8415.0,-0.001961750601793044,,,,,1.0015667878949017,0.9966480446927374,-0.002123180469187913,-0.0006938293903404676,,,,,2023-01-04 04:00:00,,,0.0
2023-01-03 07:00:00,2023-01-03 07:00:00,1.05358,1.057,1.05195,1.05603,10973.0,0.002772739789765666,,,,,0.9976799901517949,0.9952223273415326,-0.002514640870531215,-0.001057991686378617,,,,,2023-01-04 07:00:00,,,0.0
2023-01-03 09:00:00,2023-01-03 09:00:00,1.05742,1.05974,1.05546,1.05554,14327.0,-0.0004640019696411368,,,,,1.0017810788790573,0.9959612735199201,-0.002831772058244475,-0.0014127477607517886,,,,,2023-01-04 09:00:00,,,0.0
2023-01-03 11:00:00,2023-01-03 11:00:00,1.05581,1.05592,1.05376,1.05463,5496.0,-0.0008621179680542435,,,,,1.0011188758142666,0.9979543904841276,-0.003120558349948732,-0.0017543098785911774,,,,,2023-01-04 11:00:00,,,0.0
2023-01-03 15:00:00,2023-01-03 15:00:00,1.05516,1.05688,1.05432,1.0549,2082.0,0.0002560139575016329,,,,,1.0002464688596078,0.9975777760956778,-0.003289715036042029,-0.0020613909100813477,,,,,2023-01-04 15:00:00,,,0.0
2023-01-03 19:00:00,2023-01-03 19:00:00,1.05582,1.05699,1.05408,1.05669,4123.0,0.0016968433026827157,,,,,0.9991766743321127,0.997246899213805,-0.0032419635503770916,-0.0022975054381404966,,,,,2023-01-04 19:00:00,,,0.0
