Date,Date,Open,High,Low,Close,Daily_Returns,Middle_Band,Upper_Band,Lower_Band,Log_Returns,SpreadOC,SpreadLH,MACD,Signal_Line_MACD,RSI,SMI,weekday,hour,upper_barrier,lower_barrier,t1,touch_upper,touch_lower,label
2016-01-05 00:01:00,2016-01-05 00:01:00,1.082405,1.08372,1.080005,1.08315,,,,,,0.9993121912939112,0.9965719927656591,0.0,0.0,,,2,0,,,2016-01-06 00:01:00,,,0.0
2016-01-05 08:01:00,2016-01-05 08:01:00,1.08088,1.083895,1.078545,1.07897,-0.0038591146193971415,,,,,1.0017702067712726,0.9950640975371231,-0.0003334472934473087,-6.668945868946175e-05,,,2,8,,,2016-01-06 08:01:00,,,0.0
2016-01-05 10:01:00,2016-01-05 10:01:00,1.077385,1.07987,1.07648,1.0768,-0.0020111773265243382,,,,,1.0005432763744428,0.9968607332364081,-0.0007640006168780911,-0.00020615169032718762,,,2,10,,,2016-01-06 10:01:00,,,0.0
2016-01-05 13:01:00,2016-01-05 13:01:00,1.07515,1.076895,1.07391,1.074215,-0.002400631500742989,,,,,1.000870403038498,0.9972281420194169,-0.0012988329857555048,-0.00042468794941285105,,,2,13,,,2016-01-06 13:01:00,,,0.0
2016-01-05 15:01:00,2016-01-05 15:01:00,1.073915,1.075735,1.071065,1.072185,-0.0018897520514979949,,,,,1.00161352751624,0.9956587821350052,-0.0018649970014201767,-0.0007127497598143162,,,2,15,,,2016-01-06 15:01:00,,,0.0
2016-01-05 22:01:00,2016-01-05 22:01:00,1.074845,1.075725,1.07199,1.075425,0.003021866562207265,,,,,0.9994606783364716,0.996527923028655,-0.002028857731625644,-0.0009759713541765819,,,2,22,,,2016-01-06 22:01:00,,,0.0
2016-01-06 06:01:00,2016-01-06 06:01:00,1.074465,1.0773,1.07393,1.07455,-0.0008136318199782888,,,,,0.9999208971197246,0.9968718091525111,-0.002203918329574339,-0.0012215607492561335,,,3,6,,,2016-01-07 06:01:00,,,0.0
2016-01-06 09:01:00,2016-01-06 09:01:00,1.07354,1.07488,1.071925,1.07347,-0.001005071890558762,,,,,1.0000652090882838,0.9972508559094968,-0.002402112036461901,-0.001457671006697287,,,3,9,,,2016-01-07 09:01:00,,,0.0
2016-01-06 13:01:00,2016-01-06 13:01:00,1.07431,1.07601,1.07163,1.07393,0.00042851686586509175,,,,,1.00035384056689,0.9959294058605405,-0.002493322353408489,-0.0016648012760395274,,,3,13,,,2016-01-07 13:01:00,,,0.0
2016-01-06 15:01:00,2016-01-06 15:01:00,1.07556,1.07672,1.07332,1.07452,0.0005493840380657034,,,,,1.0009678740274728,0.9968422616836319,-0.002489303970920398,-0.0018297018150157016,,,3,15,,,2016-01-07 15:01:00,,,0.0
2016-01-06 19:01:00,2016-01-06 19:01:00,1.075545,1.07996,1.07438,1.07887,0.004048319249525534,,,,,0.996918071686116,0.9948331419682209,-0.002110778982122863,-0.001885917248437134,,,3,19,,,2016-01-07 19:01:00,,,0.0
2016-01-07 02:01:00,2016-01-07 02:01:00,1.080265,1.081765,1.077355,1.08151,0.0024470047364371084,,,,,0.9988488317260128,0.9959233290039888,-0.0015795610680267025,-0.0018246460123550476,,,4,2,,,2016-01-08 02:01:00,,,0.0
2016-01-07 08:01:00,2016-01-07 08:01:00,1.078355,1.082975,1.07712,1.080735,-0.0007165906926426269,,,,,0.9977977950191305,0.9945935963434059,-0.0012071873624752705,-0.0017011542823790922,,,4,8,,,2016-01-08 08:01:00,,,0.0
2016-01-07 10:01:00,2016-01-07 10:01:00,1.08461,1.086975,1.080735,1.083745,0.002785141593452556,,,,,1.0007981582383312,0.9942592975919409,-0.000661570500718689,-0.0014932375260470116,,,4,10,,,2016-01-08 10:01:00,,,0.0
2016-01-07 13:01:00,2016-01-07 13:01:00,1.08584,1.087475,1.083745,1.085865,0.0019561797286262728,,,,,0.9999769768801829,0.9965700360927837,-5.743682839409736e-05,-0.0012060773865164287,,,4,13,,,2016-01-08 13:01:00,,,0.0
2016-01-07 15:01:00,2016-01-07 15:01:00,1.08443,1.087495,1.082765,1.082765,-0.0028548668572981883,,,,,1.0015377297936303,0.9956505547151939,0.00016924837731191467,-0.0009310122337507601,,,4,15,,,2016-01-08 15:01:00,,,0.0
2016-01-07 18:01:00,2016-01-07 18:01:00,1.08625,1.09093,1.08262,1.090135,0.006806647795227994,,,,,0.9964362212019611,0.9923826459992849,0.0009328422179384344,-0.0005582413434129213,,,4,18,,,2016-01-08 18:01:00,,,0.0
2016-01-07 23:01:00,2016-01-07 23:01:00,1.092185,1.09403,1.08934,1.09259,0.0022520146587348133,,,,,0.9996293211543213,0.9957130974470535,0.0017163092757748188,-0.00010333121957537325,,,4,23,,,2016-01-08 23:01:00,,,0.0
2016-01-08 02:01:00,2016-01-08 02:01:00,1.088405,1.092725,1.08717,1.088715,-0.0035466185851965593,,,,,0.9997152606513182,0.9949163787778261,0.0020014608535579015,0.00031762719505128167,,,5,2,,,2016-01-09 02:01:00,,,0.0
2016-01-08 08:01:00,2016-01-08 08:01:00,1.08864,1.08999,1.085485,1.0872,-0.0013915487524284176,,,,,1.0013245033112583,0.9958669345590326,0.0020812068378204263,0.0006703431236051106,,,5,8,,,2016-01-09 08:01:00,,,0.0
2016-01-08 11:01:00,2016-01-08 11:01:00,1.086935,1.08831,1.085835,1.08724,3.679175864612638e-05,,,,,0.9997194731613995,0.9977258317942498,0.002123159311669065,0.0009609063612179016,,,5,11,,,2016-01-09 11:01:00,,,0.0
2016-01-08 13:01:00,2016-01-08 13:01:00,1.08661,1.087755,1.08032,1.084135,-0.002855855192965606,,,,,1.002282926019361,0.9931648211224035,0.0018841402035829624,0.001145553129690914,,,5,13,,,2016-01-09 13:01:00,,,0.0
2016-01-08 14:01:00,2016-01-08 14:01:00,1.084135,1.089025,1.083375,1.08644,0.002126118979647318,,,,,0.997878391811789,0.9948118730056703,0.0018592774812522528,0.0012882980000031817,,,5,14,,,2016-01-09 14:01:00,,,0.0
2016-01-08 16:01:00,2016-01-08 16:01:00,1.090845,1.0917,1.086425,1.08845,0.0018500791576154807,1.08148375,1.0936753509042578,1.0692921490957423,,1.0022003766824386,0.9951680864706421,0.0019789516733721424,0.0014264287346769738,54.74230493915518,18611.39674378738,5,16,,,2016-01-09 16:01:00,,,0.0
2016-01-08 20:01:00,2016-01-08 20:01:00,1.09024,1.09217,1.087055,1.09195,0.0032155817906196482,1.0818504166666667,1.0947594047442972,1.0689414285890362,0.008091626145480679,0.9984339942305052,0.9953166631568345,0.002329363628185366,0.0016070157133786522,57.409902324014695,18611.780634104434,5,20,1.0979179338617389,1.085982066138261,2016-01-09 20:01:00,2016-01-15 13:01:00,2016-01-11 16:01:00,0.0
2016-01-11 01:01:00,2016-01-11 01:01:00,1.093865,1.096995,1.091715,1.093765,0.0016621640184990571,1.082466875,1.0961891598941929,1.068744590105807,0.013618990513668432,1.0000914273175683,0.9951868513530144,0.002722143779355868,0.0018300413265740954,62.97465579233534,18612.686066837938,1,1,1.0994363146921564,1.0880936853078438,2016-01-12 01:01:00,2016-02-03 15:01:00,2016-01-11 08:01:00,-1.0
2016-01-11 08:01:00,2016-01-11 08:01:00,1.09007,1.093795,1.08725,1.08844,-0.004868504660507589,1.082951875,1.0966609687170727,1.0692427812829273,0.010751798537733271,1.0014975561353865,0.9940162461887282,0.0025740696097107385,0.001978846983201424,59.67259431610437,18613.443076606578,1,8,1.0944818170115522,1.082398182988448,2016-01-12 08:01:00,2016-01-15 13:01:00,2016-01-12 15:01:00,0.0
2016-01-11 12:01:00,2016-01-11 12:01:00,1.089895,1.09101,1.088155,1.089905,0.0013459630296570602,1.083605625,1.0970699502668417,1.070141299733158,0.014500374207623325,0.9999908248884078,0.9973831587244846,0.0025455890538952364,0.0020921953973401866,63.285351397121005,18614.230301833657,1,12,1.0958181519977834,1.0839918480022164,2016-01-12 12:01:00,2016-01-15 13:01:00,2016-01-12 13:01:00,0.0
2016-01-11 14:01:00,2016-01-11 14:01:00,1.08814,1.090285,1.085985,1.08983,-6.881333694208625e-05,1.0843408333333333,1.0971113546419082,1.0715703120247584,0.01632309838857154,0.9984492994320215,0.9960560770807633,0.0024882827602630275,0.002171412869924755,65.45231631491382,18615.02983696223,1,14,1.095638444814352,1.0840215551856482,2016-01-12 14:01:00,2016-01-15 13:01:00,2016-01-12 13:01:00,-1.0
